vae,band,step,offset,raw_sign0,adj_acc
FLUX.2-sm FFHQ,L2_LH,2,-0.027387,0.75,0.754
FLUX.2-sm FFHQ,L2_LH,3,0.010231,0.824,0.823
FLUX.2-sm FFHQ,L2_LH,4,0.019907,0.879,0.88
FLUX.2-sm FFHQ,L2_LH,5,0.021106,0.914,0.921
FLUX.2-sm FFHQ,L2_LH,6,0.021002,0.939,0.945
FLUX.2-sm FFHQ,L2_LH,7,0.018001,0.949,0.953
FLUX.2-sm FFHQ,L2_LH,8,0.013835,0.96,0.963
FLUX.2-sm FFHQ,L2_LH,9,0.010334,0.964,0.965
FLUX.2-sm FFHQ,L2_LH,10,0.007077,0.967,0.974
FLUX.2-sm FFHQ,L2_LH,11,0.004017,0.97,0.971
FLUX.2-sm FFHQ,L2_LH,12,0.007079,0.96,0.96
FLUX.2-sm FFHQ,L2_LH,13,0.008226,0.947,0.948
FLUX.2-sm FFHQ,L2_LH,14,0.008224,0.943,0.949
FLUX.2-sm FFHQ,L2_LH,15,0.006388,0.951,0.96
FLUX.2-sm FFHQ,L2_LH,16,0.002863,0.966,0.966
FLUX.2-sm FFHQ,L2_LH,17,0.002132,0.979,0.98
FLUX.2-sm FFHQ,L2_LH,18,0.002933,0.983,0.985
FLUX.2-sm FFHQ,L2_LH,19,0.001996,0.989,0.988
FLUX.2-sm FFHQ,L2_LH,20,0.002239,0.99,0.991
FLUX.2-sm FFHQ,L2_LH,21,0.008725,0.99,0.996
FLUX.2-sm FFHQ,L2_LH,22,0.011556,0.994,0.998
FLUX.2-sm FFHQ,L2_LH,23,0.010038,0.998,0.999
FLUX.2-sm FFHQ,L2_LH,24,0.011065,0.999,0.999
FLUX.2-sm FFHQ,L2_LH,25,0.010059,0.999,1.0
FLUX.2-sm FFHQ,L2_LH,26,0.013707,1.0,1.0
FLUX.2-sm FFHQ,L2_LH,27,0.019328,1.0,1.0
FLUX.2-sm FFHQ,L2_LH,28,0.020973,1.0,1.0
FLUX.2-sm FFHQ,L2_LH,29,0.018749,1.0,1.0
FLUX.2-sm FFHQ,L2_LH,30,0.014847,1.0,1.0
FLUX.2-sm T2I,L2_LH,2,-0.155554,0.704,0.746
FLUX.2-sm T2I,L2_LH,3,-0.061756,0.86,0.901
FLUX.2-sm T2I,L2_LH,4,-0.013935,0.945,0.951
FLUX.2-sm T2I,L2_LH,5,0.00355,0.978,0.981
FLUX.2-sm T2I,L2_LH,6,0.00052,0.982,0.982
